AACPDM;formato;cor_casca;cor_polpa;NF;PT;Comp;Diam;ind_form;PF;PPB;RP;EC;BRIX
900;1;3;3;1;120.75;77.1;77.7;1.24;120.75;47.1;39.01;11.51;13.6
907.5;3;3;3;1;71.33;67.23;56.23;1.11;71.33;34.84;48.84;7.33;13.1
765;3;3;3;5;374.44;77.58;55.01;1.1;74.89;33.26;43.41;5.46;11.58
795;1;3;3;12;818.01;76.41;56.93;1.15;68.17;33.67;48.82;5.63;11.75
757.5;1;3;3;12;818.07;72.67;54.17;1.15;64.49;28.74;44.49;5.97;13.63
757.5;3;3;3;7;576.75;72.67;54.17;1.15;82.39;28.74;44.49;5.97;13.63
802.5;1;2;3;3;425.66;76.33;56.18;1.2;70.94;19.57;26.15;6.22;11.13
735;5;3;3;7;471.37;75.57;54.31;1.22;67.34;23.26;33.12;5.87;9.54
780;3;3;3;2;151.04;73.54;55.75;0.99;75.52;39.37;50.52;7.05;14.3
735;1;3;3;2;92.77;69.32;51.74;1.22;46.39;18.71;40.15;5.72;11
735;1;3;3;2;94.22;75.41;53.27;1.22;47.11;19.13;40.46;5.48;13.1
847.5;1;3;3;5;489.08;73.3;60.81;1.28;97.82;31.43;29.81;8.55;10.88
952.5;6;2;3;1;67.61;69.47;70.11;1.41;67.61;18.45;27.29;7.22;8.7
690;1;3;3;1;115.15;83.9;69;1.36;115.15;53.07;46.09;6.54;18
735;1;3;3;3;188.04;66.59;54.63;1.34;62.68;27.2;39.76;7.57;16.33
727.5;1;3;3;1;83.32;78.91;61.48;1.34;83.32;20.18;24.22;3.82;9.7
727.5;1;3;3;2;240.87;78.25;70.9;1.36;120.44;41.59;34.08;9.16;18.05
832.5;1;3;3;1;28.26;57.35;49.82;1.4;28.26;4.43;15.68;7.25;13
780;5;2;3;5;382.18;70.15;61.27;1.32;76.44;25.25;32.12;7.26;16.08
735;1;2;3;8;629.34;69.49;60.76;1.34;78.67;26.06;31.91;9.76;13.9
802.5;7;3;3;1;46.13;59.24;49.4;1.42;46.13;10.68;23.15;10.71;11.6
